Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Category
47,200.25,0.805,0.867,11,-4.069,0,0.145,0.0485,0.0,0.154,0.553,108.024,4,Favoritas
41,184.0,0.537,0.939,6,-4.893,0,0.0299,0.000483,0.209,0.401,0.735,130.009,4,Favoritas
61,232.491,0.452,0.721,7,-6.132,1,0.031,0.0215,0.000603,0.109,0.183,85.988,4,Favoritas
48,184.485,0.623,0.838,10,-6.157,0,0.0409,0.0158,0.0,0.0958,0.856,90.02,4,Favoritas
59,276.005,0.601,0.793,11,-5.081,0,0.0362,0.00732,1.17e-06,0.0884,0.255,107.079,4,Favoritas
64,216.325,0.599,0.651,5,-4.619,0,0.0419,0.14,0.000134,0.119,0.628,122.039,4,Favoritas
58,210.668,0.559,0.783,1,-6.85,0,0.0315,0.000749,0.0459,0.314,0.225,124.994,4,Favoritas
34,270.049,0.388,0.363,5,-11.416,0,0.0908,0.39,0.000477,0.193,0.415,82.865,4,Favoritas
43,207.41,0.875,0.47,8,-8.432,0,0.0714,0.373,2.49e-06,0.118,0.967,99.986,4,Favoritas
31,202.461,0.7,0.811,0,-5.159,1,0.151,0.0577,0.0,0.129,0.74,97.506,4,Favoritas
7,206.3,0.474,0.849,8,-5.472,1,0.0623,0.0041,0.0,0.22,0.667,149.88,4,Favoritas
55,217.88,0.751,0.567,0,-6.396,1,0.0293,0.438,4.6e-05,0.137,0.186,124.956,4,Favoritas
53,195.599,0.67,0.834,0,-6.875,0,0.119,0.156,0.0,0.101,0.376,127.534,3,Favoritas
71,242.446,0.622,0.117,2,-10.055,1,0.0382,0.969,0.0,0.0871,0.315,120.984,4,Favoritas
30,196.746,0.64,0.874,11,-4.604,0,0.0403,0.0106,0.00404,0.154,0.795,146.958,4,Favoritas
43,257.637,0.627,0.534,11,-6.685,1,0.0263,0.254,0.0,0.139,0.489,112.014,4,Favoritas
41,201.76,0.815,0.629,5,-11.904,1,0.0527,0.0428,0.000204,0.0735,0.763,120.283,4,Favoritas
60,217.493,0.647,0.71,0,-4.692,1,0.029,0.000973,0.703,0.0777,0.268,110.059,4,Favoritas
53,168.0,0.746,0.759,5,-5.97,1,0.171,0.665,1.07e-06,0.339,0.675,104.994,4,Favoritas
77,177.791,0.724,0.443,7,-3.743,1,0.0329,0.73,0.0,0.101,0.763,97.194,4,Favoritas
31,189.65,0.693,0.459,0,-6.968,1,0.0272,0.642,0.0,0.135,0.633,106.974,4,Favoritas
11,228.906,0.451,0.984,6,-6.241,0,0.0702,8.96e-05,0.00147,0.0599,0.642,157.015,4,Favoritas
51,234.611,0.731,0.7,2,-5.102,0,0.05,0.167,0.0,0.211,0.414,128.03,4,Favoritas
11,187.5,0.744,0.9,5,-4.406,1,0.116,0.203,0.0,0.0397,0.736,100.004,4,Favoritas
22,175.376,0.547,0.936,11,-4.691,0,0.0579,0.00638,0.0,0.219,0.731,192.057,4,Favoritas
24,157.755,0.552,0.947,7,-5.741,1,0.0732,0.003,1.05e-06,0.098,0.7,160.056,4,Favoritas
15,114.4,0.332,0.975,7,-5.891,1,0.425,0.0243,0.595,0.609,0.0834,144.39,4,Favoritas
50,228.866,0.53,0.855,2,-5.116,1,0.0461,0.0169,0.238,0.0628,0.511,110.14,4,Favoritas
19,193.664,0.646,0.921,5,-3.522,1,0.0304,0.00865,0.000491,0.108,0.888,102.014,4,Favoritas
29,147.853,0.834,0.644,11,-5.764,1,0.109,0.0081,3.09e-06,0.276,0.939,109.892,4,Favoritas
49,220.156,0.599,0.311,5,-9.24,0,0.0357,0.943,0.000139,0.0922,0.185,147.889,3,Favoritas
36,361.426,0.778,0.561,11,-15.56,1,0.0534,0.0603,0.787,0.238,0.767,102.988,4,Favoritas
0,230.666,0.474,0.906,9,-4.333,0,0.0623,0.00364,2.14e-05,0.155,0.609,152.569,4,Favoritas
77,165.671,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,3,Favoritas
63,164.79,0.387,0.94,7,-3.018,1,0.146,0.000352,3.18e-06,0.628,0.456,167.91,4,Favoritas
45,163.779,0.578,0.468,0,-8.747,1,0.0374,0.771,0.0,0.111,0.36,93.125,3,Favoritas
56,395.373,0.476,0.604,0,-10.85,0,0.117,0.11,4.15e-05,0.134,0.583,87.304,4,Favoritas
0,167.35,0.445,0.979,9,-5.57,1,0.102,0.00102,0.0177,0.162,0.703,152.943,4,Favoritas
85,274.706,0.439,0.434,7,-14.918,1,0.0265,0.0783,5.18e-05,0.14,0.204,94.843,4,Favoritas
80,271.56,0.551,0.645,4,-13.093,1,0.0354,0.0031,0.00376,0.421,0.508,128.665,4,Favoritas
83,306.44,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,4,Favoritas
60,264.657,0.434,0.907,6,-3.967,1,0.0468,0.000158,2.51e-06,0.321,0.391,150.046,4,Favoritas
59,232.573,0.692,0.679,7,-6.751,1,0.0282,0.183,0.0,0.202,0.518,140.94,4,Favoritas
71,170.133,0.601,0.92,5,-4.802,0,0.0505,0.000735,0.0,0.0998,0.537,88.014,4,Favoritas
50,154.688,0.581,0.964,6,-5.153,1,0.0884,0.126,0.000573,0.0968,0.532,160.017,3,Favoritas
58,145.676,0.63,0.458,6,-14.172,1,0.0718,0.15,0.0255,0.108,0.208,170.042,4,Favoritas
46,210.309,0.572,0.821,9,-5.971,0,0.0329,0.0524,8.88e-05,0.162,0.498,96.978,4,Favoritas
76,175.746,0.62,0.936,7,-4.593,1,0.0308,0.0261,0.0,0.0679,0.763,97.527,4,Favoritas
55,254.973,0.377,0.942,1,-4.543,0,0.07,0.00092,8.88e-05,0.126,0.348,129.955,4,Favoritas
57,110.4,0.703,0.685,11,-8.387,1,0.114,0.343,0.137,0.211,0.747,149.91,4,Favoritas
38,305.0,0.449,0.548,2,-9.085,1,0.0374,0.0202,0.00306,0.0751,0.572,178.432,4,Favoritas
62,219.826,0.568,0.87,9,-2.258,0,0.0332,0.0459,0.0,0.12,0.585,109.819,4,Favoritas
81,258.773,0.375,0.893,2,-4.097,1,0.0406,0.000509,0.0,0.187,0.434,174.323,4,Favoritas
75,189.09,0.798,0.831,7,-4.481,0,0.171,0.697,5.87e-05,0.112,0.721,132.029,4,Favoritas
40,198.023,0.398,0.368,3,-8.012,1,0.0373,0.926,6.24e-06,0.101,0.433,89.127,4,Favoritas
86,210.173,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4,Favoritas
48,332.903,0.792,0.716,6,-8.281,0,0.055,0.00209,0.831,0.0982,0.057,123.999,4,Favoritas
53,244.935,0.41,0.478,0,-4.747,0,0.11,0.0494,1.61e-05,0.109,0.25,159.702,4,Favoritas
64,140.769,0.864,0.636,5,-7.116,0,0.108,0.0254,0.0,0.134,0.576,103.956,4,Favoritas
0,156.065,0.957,0.229,2,-8.613,1,0.124,0.27,1.34e-05,0.0684,0.859,104.964,4,Favoritas
48,127.792,0.691,0.716,1,-4.403,1,0.0417,0.152,0.000392,0.207,0.638,76.991,4,Favoritas
39,197.213,0.631,0.878,8,-4.214,1,0.225,0.00994,0.0,0.095,0.331,146.951,4,Favoritas
36,214.748,0.806,0.688,1,-5.725,1,0.0854,0.0464,0.000146,0.114,0.682,94.908,4,Favoritas
42,201.942,0.763,0.677,1,-4.84,0,0.079,0.618,0.0,0.0862,0.435,123.957,4,Favoritas
51,206.129,0.776,0.628,7,-6.558,1,0.0487,0.489,0.000257,0.3,0.771,133.037,4,Favoritas
38,199.322,0.839,0.573,5,-7.331,1,0.043,0.587,0.00766,0.107,0.662,117.964,4,Favoritas
